date,usd_to_ngn_rate,ngn_to_usd_rate
2021-05-20,410.0,0.0024390243902439024
2021-05-21,409.0,0.0024449877750611247
2021-05-24,410.0,0.0024390243902439024
2021-05-25,410.0,0.0024390243902439024
2021-05-26,409.0,0.0024449877750611247
2021-05-28,409.0,0.0024449877750611247
2021-06-01,409.0,0.0024449877750611247
2021-06-02,410.0,0.0024390243902439024
2021-06-04,408.0,0.0024509803921568627
2021-06-08,409.0,0.0024449877750611247
2021-06-09,410.0,0.0024390243902439024
2021-06-10,409.0,0.0024449877750611247
2021-06-14,409.0,0.0024449877750611247
2021-06-15,409.0,0.0024449877750611247
2021-06-16,410.0,0.0024390243902439024
2021-06-17,410.0,0.0024390243902439024
2021-06-18,410.0,0.0024390243902439024
2021-06-21,410.0,0.0024390243902439024
2021-06-22,410.0,0.0024390243902439024
2021-06-23,410.0,0.0024390243902439024
2021-06-24,410.0,0.0024390243902439024
2021-06-25,410.0,0.0024390243902439024
2021-06-28,410.0,0.0024390243902439024
2021-06-29,410.0,0.0024390243902439024
2021-06-30,410.0,0.0024390243902439024
2021-07-01,410.0,0.0024390243902439024
2021-07-02,410.0,0.0024390243902439024
2021-07-05,410.0,0.0024390243902439024
2021-07-06,410.0,0.0024390243902439024
2021-07-07,410.0,0.0024390243902439024
2021-07-08,410.0,0.0024390243902439024
2021-07-09,411.0,0.0024330900243309003
2021-07-12,409.0,0.0024449877750611247
2021-07-13,411.0,0.0024330900243309003
2021-07-14,411.0,0.0024330900243309003
2021-07-15,411.0,0.0024330900243309003
2021-07-16,411.0,0.0024330900243309003
2021-07-19,411.0,0.0024330900243309003
2021-07-20,411.0,0.0024330900243309003
2021-07-21,411.0,0.0024330900243309003
2021-07-22,411.0,0.0024330900243309003
2021-07-23,411.0,0.0024330900243309003
2021-07-26,411.0,0.0024330900243309003
2021-07-27,411.0,0.0024330900243309003
2021-07-28,411.0,0.0024330900243309003
2021-07-29,411.0,0.0024330900243309003
2021-07-30,411.0,0.0024330900243309003
2021-08-02,411.0,0.0024330900243309003
2021-08-03,411.0,0.0024330900243309003
2021-08-04,411.0,0.0024330900243309003
2021-08-05,411.0,0.0024330900243309003
2021-08-06,411.0,0.0024330900243309003
2021-08-09,411.0,0.0024330900243309003
2021-08-10,411.0,0.0024330900243309003
2021-08-11,411.0,0.0024330900243309003
2021-08-12,411.0,0.0024330900243309003
2021-08-13,411.0,0.0024330900243309003
2021-08-16,411.0,0.0024330900243309003
2021-08-17,411.2,0.0024319066147859923
2021-08-18,411.4,0.0024307243558580457
2021-08-19,411.3,0.0024313153415998056
2021-08-20,411.2,0.0024319066147859923
2021-08-23,411.05,0.0024327940639824836
2021-08-24,411.0,0.0024330900243309003
2021-08-25,411.05,0.0024327940639824836
2021-08-26,411.0,0.0024330900243309003
2021-08-27,411.0,0.0024330900243309003
2021-08-30,411.0,0.0024330900243309003
2021-08-31,411.0,0.0024330900243309003
2021-09-01,411.0,0.0024330900243309003
2021-09-02,411.0,0.0024330900243309003
2021-09-03,411.02,0.0024329716315507764
2021-09-06,411.02,0.0024329716315507764
2021-09-07,411.0,0.0024330900243309003
2021-09-08,410.8,0.00243427458617332
2021-09-09,410.9,0.002433682161109759
2021-09-10,410.925,0.0024335340998965747
2021-09-13,411.0,0.0024330900243309003
2021-09-14,411.0,0.0024330900243309003
2021-09-15,411.0,0.0024330900243309003
2021-09-16,411.0,0.0024330900243309003
2021-09-17,411.0,0.0024330900243309003
2021-09-20,411.0,0.0024330900243309003
2021-09-21,411.0,0.0024330900243309003
2021-09-22,411.0,0.0024330900243309003
